排名,中文名,英文名,标签,地址,行业,分数,办学层次,Logo
389,湖南文理学院,Hunan University of Arts and Science,,湖南,综合,118.0,,https://www.shanghairanking.cn/_uni/logo/18418928.png
389,通化师范学院,Tonghua Normal University,,吉林,师范,118.0,,https://www.shanghairanking.cn/_uni/logo/59725851.png
389,湘南学院,Xiangnan University,,湖南,理工,118.0,,https://www.shanghairanking.cn/_uni/logo/21632133.png
392,广东石油化工学院,Guangdong University of Petrochemical Technology,,广东,综合,117.6,,https://www.shanghairanking.cn/_uni/logo/35196660.png
393,北华航天工业学院,North China Institute of Aerospace Engineering,,河北,理工,117.5,,https://www.shanghairanking.cn/_uni/logo/92801885.png
393,怀化学院,Huaihua University,,湖南,综合,117.5,,https://www.shanghairanking.cn/_uni/logo/97532390.png
393,佳木斯大学,Jiamusi University,,黑龙江,综合,117.5,,https://www.shanghairanking.cn/_uni/logo/39384948.png
396,河北科技师范学院,Hebei Normal University of Science and Technology,,河北,师范,117.4,,https://www.shanghairanking.cn/_uni/logo/54034662.png
396,渭南师范学院,Weinan Normal University,,陕西,师范,117.4,,https://www.shanghairanking.cn/_uni/logo/58053407.png
398,阜阳师范大学,Fuyang Normal University,,安徽,师范,117.3,,https://www.shanghairanking.cn/_uni/logo/54911354.png
399,德州学院,Dezhou University,,山东,综合,117.1,,https://www.shanghairanking.cn/_uni/logo/14072746.png
399,玉林师范学院,Yulin Normal University,,广西,师范,117.1,,https://www.shanghairanking.cn/_uni/logo/23382976.png
401,南阳理工学院,Nanyang Institute of Technology,,河南,理工,117.0,,https://www.shanghairanking.cn/_uni/logo/83749369.png
402,滁州学院,Chuzhou University,,安徽,师范,116.8,,https://www.shanghairanking.cn/_uni/logo/85371855.png
402,江苏第二师范学院,Jiangsu Second Normal University,,江苏,师范,116.8,,https://www.shanghairanking.cn/_uni/logo/46841239.png
402,曲靖师范学院,Qujing Normal University,,云南,师范,116.8,,https://www.shanghairanking.cn/_uni/logo/38293178.png
405,莆田学院,Putian University,,福建,综合,116.3,,https://www.shanghairanking.cn/_uni/logo/70611686.png
406,贵阳学院,Guiyang University,,贵州,综合,115.9,,https://www.shanghairanking.cn/_uni/logo/66279213.png
406,枣庄学院,Zaozhuang University,,山东,综合,115.9,,https://www.shanghairanking.cn/_uni/logo/84643594.png
408,湖北理工学院,Hubei Polytechnic University,,湖北,理工,115.7,,https://www.shanghairanking.cn/_uni/logo/43373392.png
409,湖南城市学院,Hunan City University,,湖南,综合,115.6,,https://www.shanghairanking.cn/_uni/logo/93210906.png
409,湖南工程学院,Hunan Institute of Engineering,,湖南,理工,115.6,,https://www.shanghairanking.cn/_uni/logo/87270858.png
411,湖南科技学院,Hunan University of Science and Engineering,,湖南,综合,115.3,,https://www.shanghairanking.cn/_uni/logo/89586778.png
412,广东第二师范学院,Guangdong University of Education,,广东,师范,115.1,,https://www.shanghairanking.cn/_uni/logo/26260939.png
413,太原师范学院,Taiyuan Normal University,,山西,师范,115.0,,https://www.shanghairanking.cn/_uni/logo/95911693.png
413,周口师范学院,Zhoukou Normal University,,河南,师范,115.0,,https://www.shanghairanking.cn/_uni/logo/59515613.png
415,北部湾大学,Beibu Gulf University,,广西,综合,114.8,,https://www.shanghairanking.cn/_uni/logo/99524990.png
415,浙江水利水电学院,Zhejiang University of Water Resources and Electric Power,,浙江,理工,114.8,,https://www.shanghairanking.cn/_uni/logo/56985389.png
417,肇庆学院,Zhaoqing University,,广东,综合,114.7,,https://www.shanghairanking.cn/_uni/logo/75909981.png
418,韩山师范学院,Hanshan Normal University,,广东,师范,114.6,,https://www.shanghairanking.cn/_uni/logo/57927770.png
419,宿迁学院,Suqian College,,江苏,综合,114.4,,https://www.shanghairanking.cn/_uni/logo-jpg/3157367300.jpg
420,河南城建学院,Henan University of Urban Construction,,河南,理工,114.2,,https://www.shanghairanking.cn/_uni/logo/98614127.png
421,中国民用航空飞行学院,Civil Aviation Flight University of China,,四川,理工,114.1,,https://www.shanghairanking.cn/_uni/logo/49642757.png
422,咸阳师范学院,Xianyang Normal University,,陕西,师范,113.8,,https://www.shanghairanking.cn/_uni/logo/21589045.png
423,黑龙江工程学院,Heilongjiang Institute of Technology,,黑龙江,理工,113.4,,https://www.shanghairanking.cn/_uni/logo/12526638.png
424,安阳师范学院,Anyang Normal University,,河南,师范,113.3,,https://www.shanghairanking.cn/_uni/logo/54267189.png
424,唐山师范学院,Tangshan Normal University,,河北,师范,113.3,,https://www.shanghairanking.cn/_uni/logo/65458418.png
426,皖西学院,West AnHui University,,安徽,师范,113.1,,https://www.shanghairanking.cn/_uni/logo/64462476.png
427,齐鲁师范学院,Qilu Normal University,,山东,师范,112.8,,https://www.shanghairanking.cn/_uni/logo/42027987.png
428,成都师范学院,Chengdu Normal University,,四川,师范,112.6,,https://www.shanghairanking.cn/_uni/logo-jpg/4681771000.jpg
428,河南工程学院,Henan University of Engineering,,河南,理工,112.6,,https://www.shanghairanking.cn/_uni/logo/27407185.png
